Date,Open,High,Low,Close,Adj Close,Volume
7/6/2016,54.669998,54.889999,54.220001,54.355,54.355,2832400
7/7/2016,54.314999,54.404999,53.985001,54.215,54.215,1726200
7/8/2016,54.615002,54.965,54.529999,54.845001,54.845001,2594000
7/11/2016,55,55.349998,54.845001,55.150002,55.150002,1898400
7/12/2016,55.52,55.705002,54.955002,55.095001,55.095001,1616400
7/13/2016,55.400002,55.5,55.215,55.285,55.285,1867600
7/14/2016,55.755001,55.755001,55.095001,55.275002,55.275002,1699600
7/15/2016,55.564999,55.564999,55.09,55.169998,55.169998,1423200
7/18/2016,55.305,55.5,55.055,55.130001,55.130001,1224000
7/19/2016,54.884998,55.34,54.884998,55.195,55.195,1138800
7/20/2016,55.240002,55.485001,55.240002,55.455002,55.455002,1068000
7/21/2016,55.435001,55.490002,54.790001,54.965,54.965,1230200
7/22/2016,55.105,55.299999,54.939999,55.240002,55.240002,1044600
7/25/2016,55.119999,55.330002,55,55.174999,55.174999,1035800
7/26/2016,55.25,55.73,55.165001,55.459999,55.459999,1611200
7/27/2016,55.404999,55.48,54.84,55,55,1597200
7/28/2016,54.919998,55.450001,54.735001,55.355,55.355,1718200
7/29/2016,55.400002,55.400002,54.965,55.18,55.18,1543400
8/1/2016,55.075001,55.5,55.040001,55.174999,55.174999,1890400
8/2/2016,54.959999,55.299999,54.625,54.705002,54.705002,2249600
8/3/2016,53.349998,53.775002,51.150002,52.224998,52.224998,6614800
8/4/2016,52.415001,53.029999,52.299999,52.790001,52.790001,3337800
8/5/2016,52.965,53.150002,52.555,52.595001,52.595001,2587400
8/8/2016,52.540001,52.625,51.875,51.994999,51.994999,1952000
8/9/2016,51.900002,52.25,51.764999,52.095001,52.095001,1607200
8/10/2016,52.105,52.474998,51.889999,52.095001,52.095001,1516600
8/11/2016,52.145,52.395,51.535,51.695,51.695,2586200
8/12/2016,51.540001,51.955002,51.474998,51.68,51.68,1500800
8/15/2016,51.845001,51.845001,51.470001,51.485001,51.485001,1517200
8/16/2016,51.299999,51.365002,50.77,50.77,50.77,1783400
8/17/2016,50.895,51.41,50.5,51.389999,51.389999,2645200
8/18/2016,51.255001,51.544998,51.014999,51.255001,51.255001,1368400
8/19/2016,51.095001,51.345001,50.93,51.27,51.27,1622200
8/22/2016,51.18,51.459999,51.07,51.419998,51.419998,1110400
